,n_steps
1909,4.0
1910,15.0
1911,5.0
1912,14.0
1913,12.0
1914,9.0
1915,6.0
1916,2.0
1917,4.0
1918,7.0
1919,12.0
1920,6.0
1921,8.0
1922,7.0
1923,11.0
1924,21.0
1925,16.0
1926,8.0
1927,8.0
1928,13.0
1929,16.0
1930,7.0
1931,12.0
1932,4.0
1933,6.0
1934,6.0
1935,13.0
1936,7.0
1937,12.0
1938,8.0
1939,13.0
1940,4.0
1941,14.0
1942,10.0
1943,7.0
1944,5.0
1945,9.0
1946,4.0
1947,12.0
1948,8.0
1949,8.0
1950,9.0
1951,11.0
1952,4.0
1953,6.0
1954,8.0
1955,14.0
1956,5.0
1957,11.0
1958,12.0
1959,10.0
1960,16.0
1961,24.0
1962,14.0
1963,15.0
1964,10.0
1965,16.0
1966,16.0
1967,9.0
1968,5.0
1969,9.0
1970,9.0
1971,11.0
1972,18.0
1973,13.0
1974,6.0
1975,10.0
1976,10.0
1977,6.0
1978,14.0
1979,6.0
1980,13.0
1981,13.0
1982,12.0
1983,6.0
1984,12.0
1985,23.0
1986,8.0
1987,4.0
1988,11.0
1989,6.0
1990,14.0
1991,7.0
1992,11.0
1993,16.0
1994,9.0
1995,8.0
1996,11.0
1997,7.0
1998,11.0
1999,11.0
2000,5.0
2001,18.0
2002,9.0
2003,17.0
2004,6.0
2005,12.0
2006,3.0
2007,13.0
2008,7.0
2009,10.0
2010,10.0
2011,25.0
2012,8.0
2013,9.0
2014,8.0
2015,8.0
2016,8.0
2017,4.0
2018,14.0
2019,8.0
2020,13.0
2021,16.0
2022,9.0
2023,5.0
2024,10.0
2025,12.0
2026,15.0
2027,23.0
2028,5.0
2029,6.0
2030,11.0
2031,7.0
2032,6.0
2033,4.0
2034,19.0
2035,2.0
2036,15.0
2037,2.0
2038,8.0
2039,12.0
2040,4.0
2041,20.0
2042,7.0
2043,8.0
2044,5.0
2045,8.0
2046,4.0
2047,5.0
2048,6.0
2049,17.0
2050,7.0
2051,10.0
2052,14.0
2053,10.0
2054,6.0
2055,13.0
2056,6.0
2057,10.0
2058,6.0
2059,4.0
2060,12.0
2061,23.0
2062,7.0
2063,9.0
2064,6.0
2065,8.0
2066,6.0
2067,15.0
2068,7.0
2069,14.0
2070,6.0
2071,5.0
2072,10.0
2073,9.0
2074,10.0
2075,20.0
2076,6.0
2077,3.0
2078,27.0
2079,13.0
2080,5.0
2081,8.0
2082,7.0
2083,6.0
2084,2.0
2085,10.0
2086,4.0
2087,7.0
2088,16.0
2089,2.0
2090,17.0
2091,20.0
2092,4.0
2093,12.0
2094,7.0
2095,5.0
2096,9.0
2097,9.0
2098,18.0
2099,7.0
2100,1.0
2101,12.0
2102,8.0
2103,7.0
2104,9.0
2105,11.0
2106,5.0
2107,3.0
2108,17.0
2109,10.0
2110,4.0
2111,3.0
2112,10.0
2113,11.0
2114,4.0
2115,6.0
2116,8.0
2117,7.0
